"HolderAddress","Balance","PendingBalanceUpdate"
"0x274829c52bba894d62a4931b46b76cfe0606ac26","1,250.000001663320206772","No"
"0x8db8b1334f23e6287a3c0058847bc1bbaf22b682","1,237.417","No"
"0x1c592901c857166ff30703b9d887eecd80b63ed7","1,217.043751602845972621","No"
"0xd2f142936cf147cb76ab7ce47ee27956158b61f0","1,213.98958175810797694","No"
"0xb703b4734b735ccd8763f7c6d7d36fc086c1afb3","1,200","No"
"0x2fc7d16ee683f777c1d0aeac8b0b0793bd5f85fb","1,137.531205139621127344","No"
"0x589903796f5c2d690781482daabee3619e7f7887","1,114","No"
"0xb3693f750c6e1a3383f28963143dcbb2467c7371","1,097.853663625453747721","No"
"0x0a04da9f90fd33939de0a53b0eb9dfbd54dd817b","1,093.466309962199788528","No"
"0x23f5a2f1d03e3f1ca4ee6915f0dec15df2979c2c","1,074.374344636898441984","No"
"0x221c2f9fe59f6d6dd569cb8fc94755e247afc309","1,042.448713749959146716","No"
"0x61fd0d043d519f5a2bd05785000f30db96809429","1,006.414968952320391547","No"
"0xa056cfc0c80b1082536ee1e16da91b81fe6f02a4","1,000.000008287489335141","No"
"0xb7318647071eb12164d251b07815154761967a8f","1,000","No"
"0xf9593a9d7f735814b87d08e8d8ad624f58d53b10","1,000.000000000000014783","No"
"0x0ee85c30ff1797d9f041261b88c4a58d6d68fbbf","1,000","No"
"0x13c77f364c875f08f756c652d77c66e8f73371cf","1,000","No"
"0x3e808d420a4c88684dea6b48e31545a3066bd5f5","1,000","No"
"0x9231bd336662f06b9576b579959c2a64e3f814fb","1,000","No"
"0xc083ce07eaf5fc80fa0480ea171e662923815b17","1,000","No"
"0xa4130a4abf3348931d17d32a75b8357e1d28cc1f","1,000","No"
"0x4e740a58d57330123a92edd28f5e3592f447a2c7","999.182843342887851752","No"
"0xafdfd3f9914ae1d0fcd83e69928032be8b744196","981.691031271676545358","No"
"0x38f46a18bfd90d2f87071d928979f32e9a6c3ebc","977.222377208728280342","No"
"0x98b44923def45b65d69fa82fc5fb04a348fc81b1","975","No"
"0x8f22003f659e521e6daadb261d847f4ad3d463f3","966.269766124742623263","No"
"0x59fc7d686d0beb1789481166415b97d778ac0c7b","950","No"
"0xe49e2611ac35f0a11e5c36c1f3b8ffe74d41671a","943.503865588646904192","No"
"0x7a223473f7e43c6f106ee2b6fa853de500166a95","933.572527479944400053","No"
"0x6a97fe1b00f6133de4e5321919ddc388bfd657a2","924.339305314546954324","No"
"0xa14964479ebf9cd336011ad80652b08cd83dfe3a","922.579458051127731175","No"
"0xb4dc4c7460c58e7652cd615675a1f707ebb67e9a","904.301436856932027373","No"
"0xc074a473f23cb6908bb88b3793ff35b524ef7701","900","No"
"0x485e486a402a9f5f47929471defb6081e073a728","900","No"
"0x78d414bd0d71caa874848d543efd36892c75f4cd","887.34133254546887803","No"
"0x084d75d0c494ddd62540ee03dd0c5371da55d30f","841.278204698990404208","No"
"0x3a4939029e54e5b3973410baa83d5ec8854d7b28","817.560238307333411629","No"
"0x4bb780d23466061d4617dba377398b485ba9c692","800","No"
"0x3d36e75385c686b0c6c390621158934b3d1a2396","800","No"
"0xa2b20c4d895cefdef4a0aab161f000344981933e","725.898585458751757166","No"
"0x18bbb29ebb39b1e5025cdea92704377bd3194020","722.385561485683391771","No"
"0x034a3dd1fffce09c67342b185a450de933e228c4","713.949717407611277867","No"
"0x24d3f0e5ae374deff6097627e127fb561fb3381e","706.9215769696860698","No"
"0xb04115f10dec4f70d1fdd6d3a694315d499e610d","661.335126425479540507","No"
"0xabb908bc594387e8eab7959a70b4aecde38ab451","644.664000000000013514","No"
"0xc235839d1d38de4fc7bcc6946fd3c87255a8219b","637.793266007453335186","No"
"0x466e080272ad85b2e20c0e8e13bafdadaa2183dd","635.568619675448821155","No"
"0x086f51fced9ff6c742d706c319112359e3658b08","628.553394599544364","No"
"0x2f91a477fe84d95856e3f880e29361e7a958efb9","626.799132322030640231","No"
"0xa7261c7e4fc60bf7ee967e8ed7fab15638e6ad7b","614.119111695572178641","No"
"0xe3e02123a4126de661af887eee222498c6442ffc","604.492958845994489716","No"
"0xa350122a590fc6c8bee981a06039436fff79c02a","600.088420556614463968","No"
"0xbd77204cf490500be9c8538a9f61281e821d778c","600","No"
"0x0a26c485a3d3767b7e1a69e56a947bf3c140f50e","600","No"
"0x65f6fa661bfd8f0c9dad0bee07fb1e0da4483569","600","No"
"0xf0d42527c77c15bb0ae2d32658bb13d4c15bca7c","600","No"
"0x96c1bd6809f02d10a62d199b660464fe0e391271","600","No"
"0xdb75fc54b034e349821be72a7a70c7f697cd6cde","600","No"
"0x23dca56da55d744687a1bbbd52dbdd5afefac7d3","600","No"
"0xb9357bbc7ddc3e14c0c782ee5a83ddf902f9f469","600","No"
"0x0ef248a59f91dead8abbe9033b77b7abc4a02dd4","600","No"
"0x52a4e42a2325f662373e17721d97de6a914586c0","600","No"
